;input_noise_0%;input_noise_10%;input_noise_15%;input_noise_20%;input_noise_25%;input_noise_30%;input_noise_40%;input_noise_60%;input_noise_80%;input_noise_100%;input_noise_150%;input_noise_200%;input_noise_250%;input_noise_300%
train_noise_10%;1.0;0.9843543218694665;0.921371437590927;0.8747079076210784;0.8553238592242505;0.8291371899956477;0.800908206260371;0.7411079179689085;0.7503801875706175;0.6663593595528655;0.5597971736993641;0.584439036308724;0.2560713219906193;0.2714284188631063
train_noise_15%;0.9974858579509742;0.9981475764124731;0.9791666666666667;0.9202264219528317;0.9026105698570632;0.8127441091773566;0.7947442021612873;0.7503607812113292;0.7076612920225134;0.6712287431442479;0.7138084654941755;0.5840991507034836;0.33951357614550487;0.3758249281639226
train_noise_20%;1.0;0.998228054160799;0.9573953320748668;0.8996714369412967;0.8648721610348288;0.825517070546281;0.8194801590465914;0.8084045028090671;0.7607420785281507;0.7272263804051475;0.6524071343132303;0.6310419481397737;0.5508383391445537;0.40548823815123247
train_noise_25%;1.0;0.9975396391470749;0.9360400850198947;0.8696595056107643;0.9180272172337925;0.8931709415941466;0.89172645366675;0.8924844280897328;0.8378783553962809;0.8018948440624335;0.7014439089566689;0.6192345125960508;0.37102765388458275;0.4401715160706571
train_noise_30%;0.9954809926737977;0.9959794831808381;0.9891831099085102;0.9096267882614727;0.899087061331674;0.8451148766455543;0.7926570814036417;0.763315173599225;0.740536795393669;0.7158470176253016;0.6194486637865533;0.6042407023658904;0.2867828273601469;0.3188041548226386
train_noise_40%;1.0;0.9960639212845106;0.9969274082858247;0.9598514310662862;0.9115173536666505;0.8461313430137938;0.7971969224623565;0.7836729905865061;0.7669472886141799;0.7495274461605941;0.7227621432163549;0.6481572453287852;0.3934859045735237;0.375025363281196
