;precision;recall;f1-score;support
10U;0.5617977528089888;1.0;0.7194244604316548;100.0
13U;1.0;1.0;1.0;100.0
15U;0.4789473684210526;0.91;0.6275862068965518;100.0
16U;0.7936507936507936;1.0;0.8849557522123894;100.0
2021;0.5495495495495496;0.61;0.5781990521327014;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;1.0;0.1;0.18181818181818182;100.0
3U;1.0;1.0;1.0;100.0
41(2)w;0.5376344086021505;1.0;0.6993006993006993;100.0
41(4)il;1.0;1.0;1.0;100.0
41(7)il;0.5;1.0;0.6666666666666666;100.0
42(1)il;1.0;1.0;1.0;100.0
42(6)w;0.5;1.0;0.6666666666666666;100.0
44(7)il;0.6172839506172839;1.0;0.7633587786259541;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;0.6756756756756757;1.0;0.8064516129032258;100.0
46(10)il;1.0;1.0;1.0;100.0
46(5)il;1.0;1.0;1.0;100.0
47(11)il;0.0;0.0;0.0;100.0
47(5)w;0.5;1.0;0.6666666666666666;100.0
47(6)il;0.0;0.0;0.0;100.0
47(8)il;0.5;1.0;0.6666666666666666;100.0
48(1)w;0.0;0.0;0.0;100.0
4U;1.0;1.0;1.0;100.0
51(1)il;0.0;0.0;0.0;100.0
51(3)w;0.4444444444444444;1.0;0.6153846153846153;100.0
51(5)il;0.5;1.0;0.6666666666666666;100.0
6244;0.0;0.0;0.0;100.0
666;0.9900990099009901;1.0;0.9950248756218906;100.0
6806;0.5;1.0;0.6666666666666666;100.0
9419;1.0;1.0;1.0;100.0
9U;0.40217391304347827;0.74;0.5211267605633803;100.0
B13;1.0;1.0;1.0;100.0
B394;1.0;0.41;0.5815602836879432;100.0
B396;1.0;1.0;1.0;100.0
B397;1.0;1.0;1.0;100.0
B40;1.0;1.0;1.0;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;1.0;1.0;100.0
B512;1.0;1.0;1.0;100.0
B82;1.0;0.38;0.5507246376811594;100.0
Cd1;0.0;0.0;0.0;100.0
Cd3;1.0;0.96;0.9795918367346939;100.0
Cu1;0.0;0.0;0.0;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);1.0;0.24;0.3870967741935484;100.0
KG16(2011)1_(k14dt)-fs;0.0;0.0;0.0;100.0
KG16(3);0.48717948717948717;0.95;0.6440677966101694;100.0
KH2;0.0;0.0;0.0;100.0
KH3;0.006896551724137931;0.01;0.008163265306122448;100.0
KH6;0.0;0.0;0.0;100.0
KL20;0.0;0.0;0.0;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;0.0;0.0;0.0;100.0
KU3-5(2);0.0;0.0;0.0;100.0
KU82(2);0.6172839506172839;1.0;0.7633587786259541;100.0
KUskv2(1);0.0;0.0;0.0;100.0
KUskv2(1)(K9dt);1.0;1.0;1.0;100.0
O19;0.0;0.0;0.0;100.0
O32;1.0;0.99;0.9949748743718593;100.0
O33;0.18023255813953487;0.31;0.22794117647058823;100.0
O4;1.0;0.14;0.24561403508771928;100.0
O41;0.0;0.0;0.0;100.0
O43;0.0;0.0;0.0;100.0
O45;1.0;1.0;1.0;100.0
O48;1.0;0.35;0.5185185185185185;100.0
O6;0.0;0.0;0.0;100.0
Seya;1.0;1.0;1.0;100.0
UD01;1.0;0.37;0.5401459854014599;100.0
UDO1;1.0;1.0;1.0;100.0
antclone_1;1.0;1.0;1.0;100.0
k6dt;0.0;0.0;0.0;100.0
accuracy;0.6414864864864865;0.6414864864864865;0.6414864864864865;0.6414864864864865
macro avg;0.6127412083023629;0.6414864864864864;0.5923566075483915;7400.0
weighted avg;0.6127412083023629;0.6414864864864865;0.5923566075483917;7400.0
