;precision;recall;f1-score;support
10U;0.9900990099009901;1.0;0.9950248756218906;100.0
13U;1.0;1.0;1.0;100.0
15U;0.9090909090909091;1.0;0.9523809523809523;100.0
16U;1.0;1.0;1.0;100.0
2021;0.9803921568627451;1.0;0.99009900990099;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;1.0;1.0;1.0;100.0
3U;1.0;1.0;1.0;100.0
41(2)w;1.0;1.0;1.0;100.0
41(4)il;1.0;1.0;1.0;100.0
41(7)il;1.0;1.0;1.0;100.0
42(1)il;1.0;1.0;1.0;100.0
42(6)w;1.0;0.51;0.6754966887417219;100.0
44(7)il;1.0;0.55;0.7096774193548387;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;1.0;1.0;1.0;100.0
46(10)il;1.0;1.0;1.0;100.0
46(5)il;1.0;1.0;1.0;100.0
47(11)il;1.0;0.98;0.98989898989899;100.0
47(5)w;0.970873786407767;1.0;0.9852216748768473;100.0
47(6)il;1.0;0.82;0.9010989010989011;100.0
47(8)il;0.9803921568627451;1.0;0.99009900990099;100.0
48(1)w;1.0;1.0;1.0;100.0
4U;1.0;1.0;1.0;100.0
51(1)il;0.9900990099009901;1.0;0.9950248756218906;100.0
51(3)w;0.8571428571428571;0.12;0.21052631578947367;100.0
51(5)il;1.0;0.99;0.9949748743718593;100.0
6244;1.0;0.88;0.9361702127659575;100.0
666;1.0;1.0;1.0;100.0
6806;0.8928571428571429;1.0;0.9433962264150945;100.0
9419;1.0;1.0;1.0;100.0
9U;0.8653846153846154;0.9;0.8823529411764707;100.0
B13;1.0;1.0;1.0;100.0
B394;1.0;0.98;0.98989898989899;100.0
B396;1.0;1.0;1.0;100.0
B397;1.0;1.0;1.0;100.0
B40;1.0;1.0;1.0;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;1.0;1.0;100.0
B512;1.0;1.0;1.0;100.0
B82;1.0;1.0;1.0;100.0
Cd1;1.0;0.91;0.9528795811518325;100.0
Cd3;1.0;1.0;1.0;100.0
Cu1;0.98;0.98;0.98;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);1.0;1.0;1.0;100.0
KG16(2011)1_(k14dt)-fs;1.0;1.0;1.0;100.0
KG16(3);1.0;1.0;1.0;100.0
KH2;0.970873786407767;1.0;0.9852216748768473;100.0
KH3;0.9326923076923077;0.97;0.9509803921568627;100.0
KH6;0.9803921568627451;1.0;0.99009900990099;100.0
KL20;1.0;0.98;0.98989898989899;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;1.0;0.86;0.924731182795699;100.0
KU3-5(2);1.0;1.0;1.0;100.0
KU82(2);1.0;1.0;1.0;100.0
KUskv2(1);0.9345794392523364;1.0;0.966183574879227;100.0
KUskv2(1)(K9dt);1.0;1.0;1.0;100.0
O19;0.776595744680851;0.73;0.7525773195876287;100.0
O32;1.0;1.0;1.0;100.0
O33;0.5900621118012422;0.95;0.7279693486590039;100.0
O4;1.0;0.99;0.9949748743718593;100.0
O41;0.9803921568627451;1.0;0.99009900990099;100.0
O43;0.6896551724137931;1.0;0.8163265306122449;100.0
O45;1.0;1.0;1.0;100.0
O48;0.6711409395973155;1.0;0.8032128514056226;100.0
O6;0.684931506849315;1.0;0.8130081300813007;100.0
Seya;1.0;1.0;1.0;100.0
UD01;1.0;1.0;1.0;100.0
UDO1;1.0;0.93;0.9637305699481865;100.0
antclone_1;1.0;1.0;1.0;100.0
k6dt;1.0;1.0;1.0;100.0
accuracy;0.9598648648648649;0.9598648648648649;0.9598648648648649;0.9598648648648649
macro avg;0.9679411752274484;0.9598648648648649;0.955989662135718;7400.0
weighted avg;0.9679411752274484;0.9598648648648649;0.955989662135718;7400.0
