;;Input Noise;Input Noise;Input Noise;Input Noise
;;10%;20%;30%;40%
Train Noise;10%;1.0;1.0;1.0;1.0
Train Noise;20%;0.9979674796747967;0.9979674796747967;0.9979674796747967;0.9979674796747967
Train Noise;30%;0.9898373983739838;0.9898373983739838;0.9898373983739838;0.9898373983739838
Train Noise;40%;0.9979674796747967;0.9979674796747967;0.9979674796747967;0.9979674796747967
