;precision;recall;f1-score;support
10U;0.0;0.0;0.0;100.0
13U;1.0;1.0;1.0;100.0
15U;0.5154639175257731;1.0;0.6802721088435374;100.0
16U;0.9259259259259259;1.0;0.9615384615384615;100.0
2021;0.4642857142857143;0.78;0.582089552238806;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;1.0;0.02;0.0392156862745098;100.0
3U;0.0;0.0;0.0;100.0
41(2)w;0.5;1.0;0.6666666666666666;100.0
41(4)il;0.970873786407767;1.0;0.9852216748768473;100.0
41(7)il;1.0;1.0;1.0;100.0
42(1)il;0.9433962264150944;1.0;0.970873786407767;100.0
42(6)w;0.0;0.0;0.0;100.0
44(7)il;0.33783783783783783;1.0;0.5050505050505051;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;0.6451612903225806;1.0;0.7843137254901961;100.0
46(10)il;0.5263157894736842;1.0;0.6896551724137931;100.0
46(5)il;0.0;0.0;0.0;100.0
47(11)il;0.0;0.0;0.0;100.0
47(5)w;0.0;0.0;0.0;100.0
47(6)il;0.0;0.0;0.0;100.0
47(8)il;0.5;1.0;0.6666666666666666;100.0
48(1)w;0.0;0.0;0.0;100.0
4U;1.0;0.86;0.924731182795699;100.0
51(1)il;0.9690721649484536;0.94;0.9543147208121826;100.0
51(3)w;0.5050505050505051;1.0;0.6711409395973155;100.0
51(5)il;1.0;0.97;0.9847715736040609;100.0
6244;0.0;0.0;0.0;100.0
666;0.5;1.0;0.6666666666666666;100.0
6806;0.5;1.0;0.6666666666666666;100.0
9419;1.0;1.0;1.0;100.0
9U;0.46464646464646464;0.92;0.6174496644295302;100.0
B13;0.0;0.0;0.0;100.0
B394;0.0;0.0;0.0;100.0
B396;0.5681818181818182;1.0;0.7246376811594203;100.0
B397;0.5;1.0;0.6666666666666666;100.0
B40;1.0;0.01;0.019801980198019802;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;0.04;0.07692307692307693;100.0
B512;0.0;0.0;0.0;100.0
B82;1.0;0.1;0.18181818181818182;100.0
Cd1;0.0;0.0;0.0;100.0
Cd3;0.0;0.0;0.0;100.0
Cu1;0.0;0.0;0.0;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);0.0;0.0;0.0;100.0
KG16(2011)1_(k14dt)-fs;0.0;0.0;0.0;100.0
KG16(3);0.0;0.0;0.0;100.0
KH2;0.0;0.0;0.0;100.0
KH3;0.0;0.0;0.0;100.0
KH6;0.0;0.0;0.0;100.0
KL20;1.0;0.35;0.5185185185185185;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;0.0;0.0;0.0;100.0
KU3-5(2);0.0;0.0;0.0;100.0
KU82(2);1.0;1.0;1.0;100.0
KUskv2(1);0.0;0.0;0.0;100.0
KUskv2(1)(K9dt);0.35714285714285715;1.0;0.5263157894736842;100.0
O19;0.0;0.0;0.0;100.0
O32;0.1452991452991453;0.17;0.1566820276497696;100.0
O33;0.0;0.0;0.0;100.0
O4;1.0;0.08;0.14814814814814814;100.0
O41;0.0;0.0;0.0;100.0
O43;0.0;0.0;0.0;100.0
O45;0.5208333333333334;1.0;0.684931506849315;100.0
O48;0.047619047619047616;0.05;0.04878048780487805;100.0
O6;0.2824858757062147;1.0;0.44052863436123346;100.0
Seya;1.0;1.0;1.0;100.0
UD01;0.0;0.0;0.0;100.0
UDO1;0.0;0.0;0.0;100.0
antclone_1;1.0;0.65;0.787878787878788;100.0
k6dt;0.050980392156862744;0.26;0.08524590163934427;100.0
accuracy;0.4756756756756757;0.4756756756756757;0.4756756756756757;0.4756756756756757
macro avg;0.44244016340917675;0.4756756756756756;0.40654301094768813;7400.0
weighted avg;0.44244016340917675;0.4756756756756757;0.40654301094768813;7400.0
