;;Input Noise;Input Noise;Input Noise;Input Noise
;;10%;20%;30%;40%
Train Noise;10%;1.0;1.0;1.0;1.0
Train Noise;20%;0.9982857142857142;0.9982857142857142;0.9982857142857142;0.9982857142857142
Train Noise;30%;0.99728002920774;0.99728002920774;0.99728002920774;0.99728002920774
Train Noise;40%;0.9993998449037391;0.9993998449037391;0.9993998449037391;0.9993998449037391
