;precision;recall;f1-score;support
Anoxybacillus_flavithermus;1.0;1.0;1.0;100.0
Bacillus_altitudinis;0.877038895859473;0.7766666666666666;0.8238067177371832;900.0
Bacillus_aryabhattai;0.5670731707317073;0.93;0.7045454545454545;100.0
Bacillus_atrophaeus;1.0;1.0;1.0;200.0
Bacillus_berkeleyi;0.0;0.0;0.0;100.0
Bacillus_cereus;0.8998998998998999;0.899;0.8994497248624312;1000.0
Bacillus_chungangenis;1.0;1.0;1.0;100.0
Bacillus_clausii;1.0;1.0;1.0;100.0
Bacillus_coagulans;1.0;1.0;1.0;100.0
Bacillus_flexus;1.0;1.0;1.0;200.0
Bacillus_licheniformis;0.8;1.0;0.888888888888889;800.0
Bacillus_megaterium;0.9869402985074627;0.8816666666666667;0.9313380281690141;600.0
Bacillus_mycoides;0.9900990099009901;1.0;0.9950248756218906;100.0
Bacillus_pumilus;0.9429055963821368;0.9266666666666666;0.9347156066124965;1800.0
Bacillus_simplex;0.9463722397476341;1.0;0.9724473257698542;600.0
Bacillus_subtilis;0.5;1.0;0.6666666666666666;100.0
Bacillus_thuringiensis;0.0;0.0;0.0;100.0
Bacillus_weihenstephanensis;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
Geobacillus_subterraneus;1.0;1.0;1.0;200.0
accuracy;0.9037837837837838;0.9037837837837838;0.9037837837837838;0.9037837837837838
macro avg;0.8255164555514651;0.8707;0.8408441644436941;7400.0
weighted avg;0.8908337460375135;0.9037837837837838;0.8936986332278679;7400.0
