;;Input Noise;Input Noise;Input Noise;Input Noise
;;10%;20%;30%;40%
Train Noise;10%;1.0;1.0;1.0;1.0
Train Noise;20%;0.9959349593495935;0.9959349593495935;0.9959349593495935;0.9959349593495935
Train Noise;30%;0.991869918699187;0.991869918699187;0.991869918699187;0.991869918699187
Train Noise;40%;0.9979674796747967;0.9979674796747967;0.9979674796747967;0.9979674796747967
