;input_noise_0%;input_noise_10%;input_noise_15%;input_noise_20%;input_noise_25%;input_noise_30%;input_noise_40%;input_noise_60%;input_noise_80%;input_noise_100%;input_noise_150%;input_noise_200%;input_noise_250%;input_noise_300%
train_noise_10%;1.0;0.9598648648648649;0.7512162162162163;0.6421621621621622;0.5883783783783784;0.48027027027027025;0.4568918918918919;0.38472972972972974;0.33513513513513515;0.31054054054054053;0.23702702702702702;0.24027027027027026;0.18554054054054053;0.15121621621621623
train_noise_15%;0.9932885906040269;0.9641891891891892;0.7737837837837838;0.6532432432432432;0.6631081081081082;0.527972972972973;0.4772972972972973;0.40243243243243243;0.3166216216216216;0.3035135135135135;0.27405405405405403;0.2145945945945946;0.1495945945945946;0.1362162162162162
train_noise_20%;1.0;0.9278378378378378;0.7343243243243244;0.6414864864864865;0.6216216216216216;0.5078378378378379;0.4839189189189189;0.41216216216216217;0.38256756756756755;0.3233783783783784;0.312027027027027;0.21175675675675676;0.23621621621621622;0.17310810810810812
train_noise_25%;1.0;0.9643243243243244;0.8044594594594595;0.7086486486486486;0.634054054054054;0.5417567567567567;0.5187837837837838;0.43891891891891893;0.3727027027027027;0.36783783783783786;0.30905405405405406;0.2768918918918919;0.17810810810810812;0.18756756756756757
train_noise_30%;0.9865771812080537;0.9575675675675676;0.7878378378378378;0.6364864864864865;0.5906756756756757;0.4756756756756757;0.4595945945945946;0.395;0.30567567567567566;0.3298648648648649;0.22986486486486488;0.21054054054054053;0.1456756756756757;0.1245945945945946
train_noise_40%;1.0;0.9616216216216216;0.840945945945946;0.7643243243243243;0.7624324324324324;0.6293243243243243;0.5582432432432433;0.46378378378378377;0.4541891891891892;0.3675675675675676;0.3998648648648649;0.2856756756756757;0.22608108108108108;0.1639189189189189
