;precision;recall;f1-score;support
10U;0.037037037037037035;0.03;0.03314917127071823;100.0
13U;1.0;1.0;1.0;100.0
15U;0.0;0.0;0.0;100.0
16U;0.5773809523809523;0.97;0.7238805970149254;100.0
2021;1.0;1.0;1.0;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;1.0;0.07;0.13084112149532712;100.0
3U;1.0;0.23;0.3739837398373984;100.0
41(2)w;0.5025125628140703;1.0;0.6688963210702341;100.0
41(4)il;1.0;1.0;1.0;100.0
41(7)il;1.0;0.81;0.8950276243093923;100.0
42(1)il;0.5434782608695652;1.0;0.704225352112676;100.0
42(6)w;0.0;0.0;0.0;100.0
44(7)il;0.8333333333333334;1.0;0.9090909090909091;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;0.38022813688212925;1.0;0.5509641873278237;100.0
46(10)il;1.0;1.0;1.0;100.0
46(5)il;1.0;0.19;0.319327731092437;100.0
47(11)il;1.0;0.03;0.058252427184466014;100.0
47(5)w;1.0;1.0;1.0;100.0
47(6)il;0.043478260869565216;0.06;0.050420168067226885;100.0
47(8)il;0.5076142131979695;1.0;0.6734006734006733;100.0
48(1)w;0.16666666666666666;0.01;0.018867924528301886;100.0
4U;1.0;0.16;0.2758620689655173;100.0
51(1)il;0.0;0.0;0.0;100.0
51(3)w;0.3460207612456747;1.0;0.5141388174807198;100.0
51(5)il;0.5;1.0;0.6666666666666666;100.0
6244;0.0;0.0;0.0;100.0
666;1.0;1.0;1.0;100.0
6806;0.5;1.0;0.6666666666666666;100.0
9419;1.0;1.0;1.0;100.0
9U;0.31176470588235294;0.53;0.3925925925925926;100.0
B13;1.0;1.0;1.0;100.0
B394;0.3037037037037037;0.41;0.34893617021276596;100.0
B396;1.0;1.0;1.0;100.0
B397;1.0;0.96;0.9795918367346939;100.0
B40;0.0;0.0;0.0;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;1.0;1.0;100.0
B512;1.0;0.06;0.11320754716981131;100.0
B82;1.0;1.0;1.0;100.0
Cd1;0.0;0.0;0.0;100.0
Cd3;0.0;0.0;0.0;100.0
Cu1;0.9523809523809523;1.0;0.975609756097561;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);1.0;0.73;0.8439306358381503;100.0
KG16(2011)1_(k14dt)-fs;0.0;0.0;0.0;100.0
KG16(3);0.489247311827957;0.91;0.6363636363636364;100.0
KH2;0.5547945205479452;0.81;0.6585365853658537;100.0
KH3;1.0;0.05;0.09523809523809523;100.0
KH6;0.0;0.0;0.0;100.0
KL20;1.0;1.0;1.0;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;1.0;0.59;0.7421383647798743;100.0
KU3-5(2);1.0;0.05;0.09523809523809523;100.0
KU82(2);1.0;1.0;1.0;100.0
KUskv2(1);0.5780346820809249;1.0;0.7326007326007327;100.0
KUskv2(1)(K9dt);1.0;0.27;0.4251968503937008;100.0
O19;0.0;0.0;0.0;100.0
O32;0.5524861878453039;1.0;0.7117437722419929;100.0
O33;0.05660377358490566;0.06;0.05825242718446602;100.0
O4;1.0;0.01;0.019801980198019802;100.0
O41;0.0;0.0;0.0;100.0
O43;1.0;1.0;1.0;100.0
O45;1.0;1.0;1.0;100.0
O48;0.48704663212435234;0.94;0.6416382252559727;100.0
O6;0.526595744680851;0.99;0.6875000000000001;100.0
Seya;1.0;1.0;1.0;100.0
UD01;0.0;0.0;0.0;100.0
UDO1;0.49748743718592964;0.99;0.6622073578595318;100.0
antclone_1;1.0;1.0;1.0;100.0
k6dt;0.4032258064516129;1.0;0.5747126436781609;100.0
accuracy;0.634054054054054;0.634054054054054;0.634054054054054;0.634054054054054
macro avg;0.6574475897782941;0.6340540540540541;0.576063506386835;7400.0
weighted avg;0.657447589778294;0.634054054054054;0.5760635063868349;7400.0
