;precision;recall;f1-score;support
10U;0.015267175572519083;0.04;0.022099447513812157;100.0
13U;1.0;1.0;1.0;100.0
15U;0.0;0.0;0.0;100.0
16U;0.29577464788732394;0.84;0.4375;100.0
2021;0.5102040816326531;1.0;0.6756756756756758;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;0.0;0.0;0.0;100.0
3U;1.0;0.42;0.5915492957746479;100.0
41(2)w;0.5681818181818182;1.0;0.7246376811594203;100.0
41(4)il;0.9615384615384616;1.0;0.9803921568627451;100.0
41(7)il;1.0;1.0;1.0;100.0
42(1)il;0.5;1.0;0.6666666666666666;100.0
42(6)w;0.0;0.0;0.0;100.0
44(7)il;0.3215434083601286;1.0;0.4866180048661801;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;0.49019607843137253;1.0;0.6578947368421052;100.0
46(10)il;0.7692307692307693;1.0;0.8695652173913044;100.0
46(5)il;0.0;0.0;0.0;100.0
47(11)il;0.0;0.0;0.0;100.0
47(5)w;1.0;1.0;1.0;100.0
47(6)il;0.0;0.0;0.0;100.0
47(8)il;0.5;1.0;0.6666666666666666;100.0
48(1)w;0.0;0.0;0.0;100.0
4U;0.0;0.0;0.0;100.0
51(1)il;1.0;1.0;1.0;100.0
51(3)w;0.7142857142857143;1.0;0.8333333333333333;100.0
51(5)il;1.0;1.0;1.0;100.0
6244;0.0;0.0;0.0;100.0
666;0.5;1.0;0.6666666666666666;100.0
6806;0.5;1.0;0.6666666666666666;100.0
9419;1.0;1.0;1.0;100.0
9U;0.0;0.0;0.0;100.0
B13;0.0;0.0;0.0;100.0
B394;0.0;0.0;0.0;100.0
B396;1.0;1.0;1.0;100.0
B397;1.0;1.0;1.0;100.0
B40;0.0;0.0;0.0;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;0.57;0.7261146496815287;100.0
B512;1.0;0.1;0.18181818181818182;100.0
B82;1.0;0.01;0.019801980198019802;100.0
Cd1;0.012345679012345678;0.02;0.015267175572519083;100.0
Cd3;0.0;0.0;0.0;100.0
Cu1;0.0;0.0;0.0;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);0.0;0.0;0.0;100.0
KG16(2011)1_(k14dt)-fs;0.0;0.0;0.0;100.0
KG16(3);0.19230769230769232;0.1;0.13157894736842105;100.0
KH2;0.0;0.0;0.0;100.0
KH3;0.27631578947368424;0.21;0.23863636363636365;100.0
KH6;0.0;0.0;0.0;100.0
KL20;1.0;0.4;0.5714285714285715;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;0.5;1.0;0.6666666666666666;100.0
KU3-5(2);0.0;0.0;0.0;100.0
KU82(2);1.0;1.0;1.0;100.0
KUskv2(1);0.5076142131979695;1.0;0.6734006734006733;100.0
KUskv2(1)(K9dt);0.5;1.0;0.6666666666666666;100.0
O19;0.0;0.0;0.0;100.0
O32;1.0;1.0;1.0;100.0
O33;0.0;0.0;0.0;100.0
O4;1.0;1.0;1.0;100.0
O41;0.0;0.0;0.0;100.0
O43;0.0;0.0;0.0;100.0
O45;0.6178343949044586;0.97;0.754863813229572;100.0
O48;0.5;1.0;0.6666666666666666;100.0
O6;0.10077519379844961;0.13;0.11353711790393012;100.0
Seya;1.0;1.0;1.0;100.0
UD01;0.0;0.0;0.0;100.0
UDO1;0.0;0.0;0.0;100.0
antclone_1;1.0;0.26;0.41269841269841273;100.0
k6dt;0.21978021978021978;1.0;0.36036036036036034;100.0
accuracy;0.527972972972973;0.527972972972973;0.527972972972973;0.527972972972973
macro avg;0.473962099156697;0.527972972972973;0.4614248440997627;7400.0
weighted avg;0.47396209915669696;0.527972972972973;0.46142484409976275;7400.0
