;precision;recall;f1-score;support
Anoxybacillus_flavithermus;1.0;1.0;1.0;100.0
Bacillus_altitudinis;0.9946996466431095;0.6255555555555555;0.7680763983628922;900.0
Bacillus_aryabhattai;0.5076142131979695;1.0;0.6734006734006733;100.0
Bacillus_atrophaeus;1.0;1.0;1.0;200.0
Bacillus_berkeleyi;0.0;0.0;0.0;100.0
Bacillus_cereus;0.9124087591240876;1.0;0.9541984732824427;1000.0
Bacillus_chungangenis;1.0;1.0;1.0;100.0
Bacillus_clausii;1.0;1.0;1.0;100.0
Bacillus_coagulans;1.0;1.0;1.0;100.0
Bacillus_flexus;1.0;0.97;0.9847715736040609;200.0
Bacillus_licheniformis;0.8724100327153762;1.0;0.9318578916715201;800.0
Bacillus_megaterium;1.0;0.8383333333333334;0.9120580235720762;600.0
Bacillus_mycoides;1.0;1.0;1.0;100.0
Bacillus_pumilus;0.8828472565496787;0.9922222222222222;0.9343447554276746;1800.0
Bacillus_simplex;1.0;1.0;1.0;600.0
Bacillus_subtilis;0.5;1.0;0.6666666666666666;100.0
Bacillus_thuringiensis;1.0;0.04;0.07692307692307693;100.0
Bacillus_weihenstephanensis;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
Geobacillus_subterraneus;1.0;1.0;1.0;200.0
accuracy;0.9121621621621622;0.9121621621621622;0.9121621621621622;0.9121621621621622
macro avg;0.8834989954115111;0.8733055555555556;0.8451148766455543;7400.0
weighted avg;0.9183044527546494;0.9121621621621622;0.8998192264161048;7400.0
