,precision,recall,f1-score,support
Anoxybacillus_flavithermus,1.0,1.0,1.0,3.0
Bacillus_altitudinis,1.0,1.0,1.0,57.0
Bacillus_aryabhattai,1.0,1.0,1.0,1.0
Bacillus_atrophaeus,1.0,1.0,1.0,12.0
Bacillus_berkeleyi,1.0,1.0,1.0,5.0
Bacillus_cereus,1.0,1.0,1.0,45.0
Bacillus_chungangenis,1.0,1.0,1.0,4.0
Bacillus_clausii,1.0,1.0,1.0,4.0
Bacillus_coagulans,1.0,1.0,1.0,6.0
Bacillus_flexus,1.0,1.0,1.0,20.0
Bacillus_licheniformis,1.0,1.0,1.0,72.0
Bacillus_megaterium,1.0,1.0,1.0,44.0
Bacillus_mycoides,1.0,1.0,1.0,6.0
Bacillus_pumilus,1.0,1.0,1.0,146.0
Bacillus_simplex,1.0,1.0,1.0,27.0
Bacillus_subtilis,1.0,1.0,1.0,6.0
Bacillus_thuringiensis,1.0,1.0,1.0,7.0
Bacillus_weihenstephanensis,1.0,1.0,1.0,8.0
E-Coli,1.0,1.0,1.0,2.0
Geobacillus_subterraneus,1.0,1.0,1.0,17.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,492.0
weighted avg,1.0,1.0,1.0,492.0
