;input_noise_0%;input_noise_10%;input_noise_15%;input_noise_20%;input_noise_25%;input_noise_30%;input_noise_40%;input_noise_60%;input_noise_80%;input_noise_100%;input_noise_150%;input_noise_200%;input_noise_250%;input_noise_300%
train_noise_10%;1.0;0.9559896621357177;0.7212451896732033;0.5892271450020469;0.5317115772374683;0.41221460343383515;0.3667311009345537;0.30022402055306546;0.2631410887209709;0.231589974856764;0.17043673325704808;0.17819823885936953;0.11561002664595259;0.09551164670025121
train_noise_15%;0.9945945945945945;0.9619535886642527;0.7496211288424832;0.6145951794843674;0.614205694037954;0.46531217246287804;0.4131100436974271;0.3282756408102286;0.25645792893309916;0.21889186838371122;0.206681146743223;0.14261097955264762;0.0799602986598066;0.07418453653904405
train_noise_20%;1.0;0.9201665137635886;0.7028844637597511;0.5923566075483916;0.5689890779152258;0.44484517797898115;0.4124725786908106;0.34677375274352373;0.30309783936387075;0.2360874629180258;0.2224965063993322;0.15752606617499976;0.15352093493509164;0.09785444771029943
train_noise_25%;1.0;0.961873173288184;0.7857867494064903;0.6737340034898232;0.576063506386835;0.46954944320819936;0.4477718351668428;0.37016247361796056;0.31049124991379595;0.298961032152033;0.2503798538568981;0.2118616005913009;0.11425630963237439;0.12888067302693454
train_noise_30%;0.9873873873873873;0.9547426337896736;0.7667907730732091;0.6003558785893329;0.531166499357962;0.4065430109476882;0.39696694119960885;0.31611709293318935;0.2501556530922031;0.24474759052696507;0.15399155575210832;0.14935069526661443;0.07014282907477054;0.06645066072252842
train_noise_40%;1.0;0.9605654023282237;0.8226235407210364;0.7229466441086313;0.7146530614684518;0.5600663235572393;0.4949176851193783;0.4024794040366777;0.3705823397687795;0.29512092909217946;0.3239318205255879;0.2434647566419412;0.16302943356973437;0.11767176290200317
