;input_noise_0%;input_noise_10%;input_noise_15%;input_noise_20%;input_noise_25%;input_noise_30%;input_noise_40%;input_noise_60%;input_noise_80%;input_noise_100%;input_noise_150%;input_noise_200%;input_noise_250%;input_noise_300%
train_noise_10%;1.0;0.9901351351351352;0.9714864864864865;0.927027027027027;0.9022972972972974;0.8967567567567568;0.8764864864864865;0.8389189189189189;0.8110810810810811;0.8251351351351351;0.701081081081081;0.6677027027027027;0.5554054054054054;0.5535135135135135
train_noise_15%;0.9932885906040269;0.9939189189189189;0.9945945945945946;0.9601351351351352;0.9371621621621622;0.8864864864864865;0.8656756756756757;0.8632432432432432;0.8397297297297297;0.8381081081081081;0.8471621621621621;0.7581081081081081;0.6848648648648649;0.5921621621621621
train_noise_20%;1.0;0.9941891891891892;0.9871621621621621;0.9487837837837838;0.9348648648648649;0.9062162162162162;0.9022972972972974;0.8729729729729729;0.8378378378378378;0.8189189189189189;0.8083783783783783;0.7614864864864865;0.6531081081081082;0.6477027027027027
train_noise_25%;1.0;0.9918918918918919;0.9767567567567568;0.94;0.9471621621621622;0.9213513513513514;0.9174324324324324;0.9295945945945946;0.9097297297297298;0.9110810810810811;0.8471621621621621;0.8068918918918919;0.6878378378378378;0.6571621621621622
train_noise_30%;0.9865771812080537;0.9866216216216216;0.987027027027027;0.9356756756756757;0.9266216216216216;0.9121621621621622;0.8856756756756756;0.8567567567567568;0.8264864864864865;0.8629729729729729;0.7577027027027027;0.7227027027027026;0.5924324324324325;0.577027027027027
train_noise_40%;1.0;0.9872972972972973;0.9939189189189189;0.9721621621621621;0.9633783783783784;0.9198648648648649;0.8901351351351351;0.8664864864864865;0.8797297297297297;0.8647297297297297;0.8641891891891892;0.7479729729729729;0.6472972972972973;0.5962162162162162
