;precision;recall;f1-score;support
Anoxybacillus_flavithermus;1.0;1.0;1.0;100.0
Bacillus_altitudinis;0.9532908704883227;0.9977777777777778;0.9750271444082518;900.0
Bacillus_aryabhattai;1.0;1.0;1.0;100.0
Bacillus_atrophaeus;1.0;1.0;1.0;200.0
Bacillus_berkeleyi;1.0;0.73;0.8439306358381503;100.0
Bacillus_cereus;1.0;1.0;1.0;1000.0
Bacillus_chungangenis;1.0;1.0;1.0;100.0
Bacillus_clausii;1.0;1.0;1.0;100.0
Bacillus_coagulans;1.0;1.0;1.0;100.0
Bacillus_flexus;1.0;1.0;1.0;200.0
Bacillus_licheniformis;1.0;1.0;1.0;800.0
Bacillus_megaterium;1.0;1.0;1.0;600.0
Bacillus_mycoides;1.0;1.0;1.0;100.0
Bacillus_pumilus;0.9988623435722411;0.9755555555555555;0.9870713884204609;1800.0
Bacillus_simplex;1.0;1.0;1.0;600.0
Bacillus_subtilis;0.7874015748031497;1.0;0.881057268722467;100.0
Bacillus_thuringiensis;1.0;1.0;1.0;100.0
Bacillus_weihenstephanensis;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
Geobacillus_subterraneus;1.0;1.0;1.0;200.0
accuracy;0.9901351351351352;0.9901351351351352;0.9901351351351352;0.9901351351351352
macro avg;0.9869777394431857;0.9851666666666666;0.9843543218694665;7400.0
weighted avg;0.9911694809932216;0.9901351351351352;0.9901015837270699;7400.0
